

~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
Standings — 563 games (~42.9% done or 35.2 GP)
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~

  #  Team                     GP    W    L    OTL    Pts     P%    Rate    Opp    Top    Avg    Best W    GF    GA  Home    Away     S/O    L10    Run
---  ---------------------  ----  ---  ---  -----  -----  -----  ------  -----  -----  -----  --------  ----  ----  ------  -------  -----  -----  -----
  1  New York Rangers         35   25    9      1     51  0.729    1631   1493   1702   1655      1717   121    95  12-4-0  13-5-1   1-1    7-3-0  W1
  2  Vancouver Canucks        36   23   10      3     49  0.681    1560   1433   1578   1538      1575   136    93  13-4-1  10-6-2   0-1    7-1-2  L1
  3  Vegas Golden Knights     37   22   10      5     49  0.662    1526   1502   1632   1578      1662   127   103  13-3-2  9-7-3    4-1    5-5-0  W1
  4  Boston Bruins            34   21    7      6     48  0.706    1569   1501   1657   1595      1615   109    88  11-2-3  10-5-3   2-0    4-3-3  W2
  5  Colorado Avalanche       36   22   11      3     47  0.653    1569   1472   1621   1570      1554   131   110  14-4-0  8-7-3    1-1    6-3-1  W1
  6  Winnipeg Jets            34   21    9      4     46  0.676    1631   1508   1653   1610      1688   114    86  12-5-2  9-4-2    0-1    7-1-2  W1
  7  Dallas Stars             34   21    9      4     46  0.676    1562   1507   1662   1592      1616   120   106  11-5-1  10-4-3   2-1    7-2-1  W1
  8  Florida Panthers         36   22   12      2     46  0.639    1584   1483   1615   1576      1642   107    93  12-5-0  10-7-2   0-1    6-4-0  W4
  9  Los Angeles Kings        33   20    8      5     45  0.682    1605   1522   1772   1693      1586   116    80  7-6-4   13-2-1   1-3    4-4-2  OTL1
 10  Carolina Hurricanes      37   20   13      4     44  0.595    1520   1474   1522   1485      1591   124   117  10-3-3  10-10-1  1-2    6-1-3  W3
 11  Philadelphia Flyers      35   19   11      5     43  0.614    1552   1525   1592   1547      1578   106    95  8-7-1   11-4-4   3-1    6-1-3  OTL1
 12  New York Islanders       35   17    9      9     43  0.614    1520   1486   1521   1476      1740   109   116  10-4-6  7-5-3    1-3    6-2-2  W1
 13  Toronto Maple Leafs      34   17   10      7     41  0.603    1484   1498   1553   1515      1660   124   118  9-7-2   8-3-5    4-1    3-4-3  L1
 14  Nashville Predators      37   20   16      1     41  0.554    1501   1490   1534   1474      1653   116   116  11-9-0  9-7-1    2-0    6-3-1  W1
 15  Washington Capitals      34   17   11      6     40  0.588    1492   1491   1594   1534      1772    81    99  9-4-4   8-7-2    3-4    4-3-3  OTL1
 16  Arizona Coyotes          35   19   14      2     40  0.571    1541   1518   1567   1516      1632   110    99  12-5-0  7-9-2    2-0    6-4-0  W2
 17  New Jersey Devils        35   19   14      2     40  0.571    1486   1468   1513   1481      1613   121   125  8-8-2   11-6-0   0-1    5-4-1  L1
 18  Tampa Bay Lightning      37   17   15      5     39  0.527    1466   1477   1489   1453      1623   121   128  10-5-3  7-10-2   1-0    5-5-0  L2
 19  Pittsburgh Penguins      34   17   13      4     38  0.559    1529   1519   1561   1515      1521   104    92  9-6-1   8-7-3    2-1    6-3-1  W2
 20  Detroit Red Wings        36   17   15      4     38  0.528    1458   1516   1601   1533      1555   129   123  10-6-3  7-9-1    1-0    3-7-0  W1
 21  St. Louis Blues          36   18   17      1     37  0.514    1465   1474   1546   1482      1593   105   118  11-6-0  7-11-1   1-1    5-5-0  L2
 22  Seattle Kraken           37   14   14      9     37  0.5      1430   1464   1430   1353      1660    99   114  7-8-3   7-6-6    1-4    6-1-3  W4
 23  Minnesota Wild           34   16   14      4     36  0.529    1490   1513   1501   1445      1595   108   110  10-4-2  6-10-2   3-2    7-3-0  L1
 24  Edmonton Oilers          33   17   15      1     35  0.53     1520   1487   1520   1429      1657   116   108  9-6-1   8-9-0    2-0    7-3-0  W4
 25  Montreal Canadiens       35   15   15      5     35  0.5      1438   1521   1463   1428      1625    99   121  7-9-2   8-6-3    3-3    4-4-2  L2
 26  Buffalo Sabres           37   15   18      4     34  0.459    1465   1520   1514   1474      1702   110   127  8-9-1   7-9-3    0-1    4-4-2  W1
 27  Calgary Flames           35   14   16      5     33  0.471    1431   1486   1458   1417      1649   103   117  8-7-1   6-9-4    0-4    4-4-2  L2
 28  Columbus Blue Jackets    38   12   18      8     32  0.421    1414   1522   1421   1390      1657   119   140  8-10-3  4-8-5    0-1    4-3-3  OTL1
 29  Ottawa Senators          31   13   18      0     26  0.419    1404   1505   1491   1430      1700   106   111  9-10-0  4-8-0    1-0    3-7-0  L1
 30  Anaheim Ducks            35   13   22      0     26  0.371    1373   1539   1528   1398      1606    91   115  6-13-0  7-9-0    1-0    3-7-0  L1
 31  Chicago Blackhawks       35   11   22      2     24  0.343    1351   1526   1378   1347      1637    86   129  7-9-1   4-13-1   0-1    3-6-1  OTL1
 32  San Jose Sharks          36    9   24      3     21  0.292    1354   1536   1436   1365      1615    74   150  6-9-2   3-15-1   0-3    2-7-1  L7
